2025-04-04 10:47:12.870 - Detected: fist, Action: down
2025-04-04 10:47:13.179 - Detected: fist, Action: down
2025-04-04 10:47:13.511 - Detected: fist, Action: down
2025-04-04 10:47:13.832 - Detected: fist, Action: down
2025-04-04 10:47:14.153 - Detected: fist, Action: down
2025-04-04 10:47:14.508 - Detected: fist, Action: down
2025-04-04 10:47:15.487 - Detected: fist, Action: down
2025-04-04 10:47:15.789 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:16.118 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:16.434 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:16.738 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:17.044 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:17.383 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:17.706 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:18.053 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:18.358 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:18.670 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:18.992 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:19.310 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:19.656 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:19.973 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:20.313 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:20.622 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:20.924 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:21.241 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:21.556 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:21.866 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:22.192 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:22.504 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:22.819 - Detected: fist, Action: down
2025-04-04 10:47:23.178 - Detected: fist, Action: down
2025-04-04 10:47:23.492 - Detected: fist, Action: down
2025-04-04 10:47:23.805 - Detected: fist, Action: down
2025-04-04 10:47:24.123 - Detected: fist, Action: down
2025-04-04 10:47:24.447 - Detected: fist, Action: down
2025-04-04 10:47:24.757 - Detected: fist, Action: down
2025-04-04 10:47:25.076 - Detected: fist, Action: down
2025-04-04 10:47:25.401 - Detected: fist, Action: down
2025-04-04 10:47:25.738 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:26.045 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:26.659 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:27.575 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:28.114 - Detected: two_fingers, Action: right
2025-04-04 10:47:28.741 - Detected: two_fingers, Action: right
2025-04-04 10:47:29.359 - Detected: two_fingers, Action: right
2025-04-04 10:47:29.680 - Detected: two_fingers, Action: right
2025-04-04 10:47:30.712 - Detected: two_fingers, Action: right
2025-04-04 10:47:31.629 - Detected: two_fingers, Action: right
2025-04-04 10:47:32.539 - Detected: fist, Action: down
2025-04-04 10:47:33.449 - Detected: fist, Action: down
2025-04-04 10:47:33.869 - Detected: fist, Action: down
2025-04-04 10:47:35.546 - Detected: fist, Action: down
2025-04-04 10:47:35.960 - Detected: fist, Action: down
2025-04-04 10:47:36.369 - Detected: fist, Action: down
2025-04-04 10:47:37.824 - Detected: fist, Action: down
2025-04-04 10:47:38.238 - Detected: fist, Action: down
2025-04-04 10:47:38.539 - Detected: fist, Action: down
2025-04-04 10:47:38.841 - Detected: fist, Action: down
2025-04-04 10:47:39.183 - Detected: fist, Action: down
2025-04-04 10:47:39.545 - Detected: fist, Action: down
2025-04-04 10:47:40.464 - Detected: fist, Action: down
2025-04-04 10:47:41.361 - Detected: fist, Action: down
2025-04-04 10:47:42.216 - Detected: fist, Action: down
2025-04-04 10:47:42.652 - Detected: fist, Action: down
2025-04-04 10:47:43.359 - Detected: fist, Action: down
2025-04-04 10:47:45.213 - Detected: fist, Action: down
2025-04-04 10:47:46.147 - Detected: fist, Action: down
2025-04-04 10:47:46.465 - Detected: fist, Action: down
2025-04-04 10:47:46.796 - Detected: fist, Action: down
2025-04-04 10:47:47.131 - Detected: fist, Action: down
2025-04-04 10:47:47.462 - Detected: fist, Action: down
2025-04-04 10:47:47.801 - Detected: fist, Action: down
2025-04-04 10:47:48.127 - Detected: fist, Action: down
2025-04-04 10:47:48.451 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:48.793 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:49.126 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:49.451 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:49.809 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:50.144 - Detected: all_fingers, Action: neutral
2025-04-04 10:47:50.477 - Detected: all_fingers, Action: neutral
