2025-04-04 16:30:14.526 - Detected: fist, Action: down
2025-04-04 16:32:07.976 - Detected: two_fingers, Action: right
2025-04-04 16:32:10.489 - Detected: fist, Action: down
2025-04-04 16:32:29.993 - Detected: two_fingers, Action: right
2025-04-04 16:32:39.225 - Detected: one_finger, Action: left
2025-04-04 16:32:41.660 - Detected: two_fingers, Action: right
2025-04-04 16:32:43.539 - Detected: one_finger, Action: left
2025-04-04 16:32:45.252 - Detected: two_fingers, Action: right
2025-04-04 16:32:51.658 - Detected: one_finger, Action: left
2025-04-04 16:32:55.562 - Detected: two_fingers, Action: right
2025-04-04 16:33:01.045 - Detected: one_finger, Action: left
2025-04-04 16:34:49.910 - Detected: fist, Action: down
2025-04-04 16:34:55.808 - Detected: one_finger, Action: left
2025-04-04 16:35:00.367 - Detected: fist, Action: down
2025-04-04 16:35:15.133 - Detected: two_fingers, Action: right
2025-04-04 16:35:18.698 - Detected: fist, Action: down
2025-04-04 16:35:22.612 - Detected: two_fingers, Action: right
2025-04-04 16:35:50.248 - Detected: one_finger, Action: left
2025-04-04 16:35:53.874 - Detected: two_fingers, Action: right
2025-04-04 16:35:59.334 - Detected: fist, Action: down
2025-04-04 16:37:16.246 - Detected: two_fingers, Action: right
2025-04-04 16:37:30.143 - Detected: fist, Action: down
2025-04-04 16:37:35.377 - Detected: two_fingers, Action: right
2025-04-04 16:38:01.019 - Detected: fist, Action: down
