2025-04-04 11:42:26.239 - Detected: two_fingers, Action: right
2025-04-04 11:42:46.025 - Detected: one_finger, Action: left
2025-04-04 11:42:47.845 - Detected: two_fingers, Action: right
2025-04-04 11:42:52.724 - Detected: fist, Action: down
2025-04-04 11:42:53.785 - Detected: one_finger, Action: left
2025-04-04 11:43:17.094 - Detected: fist, Action: down
2025-04-04 11:43:17.697 - Detected: one_finger, Action: left
2025-04-04 11:43:18.013 - Detected: fist, Action: down
2025-04-04 11:43:30.564 - Detected: two_fingers, Action: right
2025-04-04 11:43:32.692 - Detected: one_finger, Action: left
2025-04-04 11:43:46.152 - Detected: fist, Action: down
2025-04-04 11:43:46.477 - Detected: one_finger, Action: left
2025-04-04 11:43:57.266 - Detected: two_fingers, Action: right
2025-04-04 11:44:07.953 - Detected: one_finger, Action: left
2025-04-04 11:44:09.594 - Detected: two_fingers, Action: right
2025-04-04 11:44:12.305 - Detected: fist, Action: down
