2025-04-04 11:22:03.464 - Detected: two_fingers, Action: right
2025-04-04 11:22:07.461 - Detected: one_finger, Action: left
2025-04-04 11:22:12.155 - Detected: fist, Action: down
2025-04-04 11:22:32.973 - Detected: one_finger, Action: left
2025-04-04 11:22:34.741 - Detected: two_fingers, Action: right
2025-04-04 11:22:42.787 - Detected: one_finger, Action: left
2025-04-04 11:23:39.489 - Detected: two_fingers, Action: right
2025-04-04 11:23:54.137 - Detected: fist, Action: down
2025-04-04 11:24:55.525 - Detected: one_finger, Action: left
2025-04-04 11:24:57.836 - Detected: fist, Action: down
2025-04-04 11:25:14.985 - Detected: one_finger, Action: left
2025-04-04 11:25:27.078 - Detected: fist, Action: down
2025-04-04 11:25:49.231 - Detected: one_finger, Action: left
2025-04-04 11:25:52.300 - Detected: fist, Action: down
2025-04-04 11:26:02.826 - Detected: one_finger, Action: left
2025-04-04 11:26:04.986 - Detected: two_fingers, Action: right
2025-04-04 11:26:10.362 - Detected: fist, Action: down
2025-04-04 11:26:26.353 - Detected: one_finger, Action: left
2025-04-04 11:26:29.359 - Detected: two_fingers, Action: right
2025-04-04 11:26:37.687 - Detected: one_finger, Action: left
2025-04-04 11:26:39.411 - Detected: fist, Action: down
2025-04-04 11:26:40.824 - Detected: two_fingers, Action: right
2025-04-04 11:26:41.777 - Detected: fist, Action: down
2025-04-04 11:27:23.873 - Detected: one_finger, Action: left
2025-04-04 11:27:40.669 - Detected: fist, Action: down
