2025-04-04 10:41:00.733 - Detected: fist, Action: down
2025-04-04 10:41:01.113 - Detected: fist, Action: down
2025-04-04 10:41:01.442 - Detected: fist, Action: down
2025-04-04 10:41:01.764 - Detected: fist, Action: down
2025-04-04 10:41:02.092 - Detected: fist, Action: down
2025-04-04 10:41:02.403 - Detected: fist, Action: down
2025-04-04 10:41:02.718 - Detected: fist, Action: down
2025-04-04 10:41:03.024 - Detected: fist, Action: down
2025-04-04 10:41:03.359 - Detected: fist, Action: down
2025-04-04 10:41:03.677 - Detected: fist, Action: down
2025-04-04 10:41:03.995 - Detected: fist, Action: down
2025-04-04 10:41:04.316 - Detected: fist, Action: down
2025-04-04 10:41:04.639 - Detected: fist, Action: down
2025-04-04 10:41:04.953 - Detected: fist, Action: down
2025-04-04 10:41:05.280 - Detected: fist, Action: down
2025-04-04 10:41:05.581 - Detected: fist, Action: down
2025-04-04 10:41:05.932 - Detected: fist, Action: down
2025-04-04 10:41:06.242 - Detected: fist, Action: down
2025-04-04 10:41:06.623 - Detected: fist, Action: down
2025-04-04 10:41:06.943 - Detected: fist, Action: down
2025-04-04 10:41:07.244 - Detected: fist, Action: down
2025-04-04 10:41:07.555 - Detected: fist, Action: down
2025-04-04 10:41:07.872 - Detected: fist, Action: down
2025-04-04 10:41:08.188 - Detected: fist, Action: down
2025-04-04 10:41:08.495 - Detected: fist, Action: down
2025-04-04 10:41:08.812 - Detected: fist, Action: down
2025-04-04 10:41:09.124 - Detected: fist, Action: down
2025-04-04 10:41:09.436 - Detected: fist, Action: down
2025-04-04 10:41:09.761 - Detected: fist, Action: down
2025-04-04 10:41:10.078 - Detected: fist, Action: down
2025-04-04 10:41:10.403 - Detected: fist, Action: down
2025-04-04 10:41:10.737 - Detected: fist, Action: down
2025-04-04 10:41:11.055 - Detected: fist, Action: down
2025-04-04 10:41:11.376 - Detected: fist, Action: down
2025-04-04 10:41:11.688 - Detected: fist, Action: down
2025-04-04 10:41:12.018 - Detected: fist, Action: down
2025-04-04 10:41:12.321 - Detected: fist, Action: down
2025-04-04 10:41:12.677 - Detected: fist, Action: down
2025-04-04 10:41:12.981 - Detected: fist, Action: down
2025-04-04 10:41:13.282 - Detected: fist, Action: down
2025-04-04 10:41:13.622 - Detected: fist, Action: down
2025-04-04 10:41:13.937 - Detected: fist, Action: down
2025-04-04 10:41:14.284 - Detected: fist, Action: down
2025-04-04 10:41:14.598 - Detected: fist, Action: down
2025-04-04 10:41:14.911 - Detected: fist, Action: down
2025-04-04 10:41:15.214 - Detected: fist, Action: down
2025-04-04 10:41:15.551 - Detected: fist, Action: down
2025-04-04 10:41:15.866 - Detected: fist, Action: down
2025-04-04 10:41:16.209 - Detected: two_fingers, Action: right
2025-04-04 10:41:16.532 - Detected: two_fingers, Action: right
2025-04-04 10:41:16.838 - Detected: two_fingers, Action: right
2025-04-04 10:41:17.154 - Detected: two_fingers, Action: right
2025-04-04 10:41:17.485 - Detected: two_fingers, Action: right
2025-04-04 10:41:17.808 - Detected: two_fingers, Action: right
2025-04-04 10:41:18.136 - Detected: two_fingers, Action: right
2025-04-04 10:41:18.452 - Detected: two_fingers, Action: right
2025-04-04 10:41:18.753 - Detected: one_finger, Action: left
2025-04-04 10:41:19.072 - Detected: one_finger, Action: left
2025-04-04 10:41:19.416 - Detected: one_finger, Action: left
2025-04-04 10:41:19.719 - Detected: one_finger, Action: left
2025-04-04 10:41:20.034 - Detected: one_finger, Action: left
2025-04-04 10:41:20.353 - Detected: one_finger, Action: left
2025-04-04 10:41:20.670 - Detected: two_fingers, Action: right
